id,district,address,create_time,latitude,longitude
134,gangnam,논현동,2024-11-24 21:15:29,37.5123018,127.0294935
137,gangnam,삼성동 강남구청앞,2024-11-24 21:15:29,37.5182453,127.0477736
138,gangnam,역삼동 테헤란로4길6,2024-11-24 21:15:29,37.4976709,127.029341
139,gangnam,대치동 삼성역,2024-11-24 21:15:29,37.5070564,127.061852
140,gangnam,논현동 논현로127길,2024-11-24 21:15:29,37.51295201060755,127.029962812386
141,gangnam,논현동 영동시장,2024-11-24 21:15:29,37.5118508,127.0234688
142,gangnam,논현동 봉은사로1길9,2024-11-24 21:15:29,37.5054749,127.024869
143,gangnam,역삼동 테헤란로105,2024-11-24 21:15:29,37.4986145,127.0285404
144,gangnam,역삼동 테헤란로125,2024-11-24 21:15:29,37.4996688,127.0316684
145,gangnam,대치동 테헤란로78길16,2024-11-24 21:15:29,37.5050648,127.0553624
146,gangnam,대치동 포스코빌딩,2024-11-24 21:15:29,37.506043,127.054803
147,gangnam,대치동 선릉로86길5-4,2024-11-24 21:15:29,37.5035179,127.0502732
148,gangnam,논현동 242-29,2024-11-24 21:15:29,37.5123018,127.0294935
149,gangnam,논현동 242-19,2024-11-24 21:15:29,37.5123018,127.0294935
150,gangnam,논현동 242-20,2024-11-24 21:15:29,37.5123018,127.0294935
151,gangnam,대치동 테헤란로428,2024-11-24 21:15:29,37.5056885,127.0541568
152,gangnam,대치동 테헤란로432,2024-11-24 21:15:29,37.5058062,127.0546894
153,gangnam,대치동 테헤란로78길12,2024-11-24 21:15:29,37.5054097,127.0553324
154,gangnam,대치동 선릉로90길14,2024-11-24 21:15:29,37.5041074,127.0505052
155,gangnam,강남역 3번출구,2024-11-24 21:15:29,37.4967731,127.0284517
156,gangnam,논현동 강남대로124길75,2024-11-24 21:15:29,37.5115195,127.0274306
157,gangnam,논현동 강남대로122길11,2024-11-24 21:15:29,37.5085363,127.0254707
158,gangnam,논현동 학동로20길12,2024-11-24 21:15:29,37.5097588,127.0271545
159,gangnam,논현동 강남대로128길81,2024-11-24 21:15:29,37.5126055,127.0279984
160,gangnam,삼성동 테헤란로81길10,2024-11-24 21:15:29,37.5106222,127.0559742
161,gangnam,삼성동 현대타워,2024-11-24 21:15:29,37.515178750000004,127.10246984999999
162,gangnam,대치동 삼성로81길28,2024-11-24 21:15:29,37.5042929,127.0551996
163,gangnam,대치동 삼성로81길36,2024-11-24 21:15:29,37.5039023,127.0546381
165,gangnam,삼성동 삼성로92길13,2024-11-24 21:15:29,37.5080132,127.0576721
166,gangnam,논현동 선릉로129길7,2024-11-24 21:15:29,37.5161013,127.0399417
167,gangnam,논현동 242-7,2024-11-24 21:15:29,37.5123018,127.0294935
168,gangnam,삼성동 테헤란로81길,2024-11-24 21:15:29,37.50906356789971,127.05650387829355
169,gangnam,삼성동 삼성로508,2024-11-24 21:15:29,37.5106044,127.0551107
170,gangnam,삼성동 테헤란로77길14,2024-11-24 21:15:29,37.5074825,127.0546433
172,gangnam,역삼동 강남대로84길32,2024-11-24 21:15:29,37.497017,127.031125
174,gangnam,대치동 정현빌딩,2024-11-24 21:15:29,37.54173385,127.21338724732853
175,gangnam,역삼동 테헤란로137,2024-11-24 21:15:29,37.5003291,127.0341622
176,gangnam,역삼동 테헤란로101,2024-11-24 21:15:29,37.5024246,127.0435097
177,gangnam,삼성동 테헤란로,2024-11-24 21:15:29,37.508249481808114,127.06065299189373
178,gangnam,삼성동 봉은사로68길75,2024-11-24 21:15:29,37.5078559,127.053705
179,gangnam,삼성동 테헤란로83길11,2024-11-24 21:15:29,37.5087514,127.05753
180,gangnam,대치동 NH농협,2024-11-24 21:15:29,37.575349,127.0720486
181,gangnam,삼성동 삼성로100길27,2024-11-24 21:15:29,37.5101388,127.0575806
182,gangnam,삼성동 테헤란로83길14,2024-11-24 21:15:29,37.50846,127.0578552
185,gangnam,대치동 대치빌딩,2024-11-24 21:15:29,37.49729085,127.05856632043225
186,gangnam,대치동 동우리빌딩,2024-11-24 21:15:29,37.5070614,127.0612102
187,gangnam,논현동 논현로705,2024-11-24 21:15:29,37.5147869,127.0301206
188,gangnam,논현동 논현로131길23,2024-11-24 21:15:29,37.5139668,127.0285406
189,gangnam,논현동 논현로131길30,2024-11-24 21:15:29,37.514093,127.0278782
190,gangnam,역삼동 테헤란로5길7,2024-11-24 21:15:29,37.4992896,127.029271
193,gangnam,대치동 영동대로85길7,2024-11-24 21:15:29,37.5073904,127.0616465
194,gangnam,대치동 테헤란로98길15,2024-11-24 21:15:29,37.5072387,127.062425
195,gangnam,논현동 705,2024-11-24 21:15:29,37.5149421,127.0298952
196,gangnam,논현동 37-23,2024-11-24 21:15:29,37.5071404,127.024016
197,gangnam,논현동 학동로2길3,2024-11-24 21:15:29,37.5079457,127.0236267
198,gangnam,대치동 테헤란로418,2024-11-24 21:15:29,37.5051812,127.0521164
199,gangnam,대치동 테헤란로64길9,2024-11-24 21:15:29,37.504608,127.0517529
200,gangnam,대치동 889-62,2024-11-24 21:15:29,37.49882,127.06566
201,gangnam,역삼동 송민빌딩,2024-11-24 21:15:29,37.49649735,127.03009003296779
202,gangnam,역삼동,2024-11-24 21:15:29,37.49988,127.03856
203,gangnam,역삼동 역삼빌딩,2024-11-24 21:15:29,37.49639165,127.02918021739225
204,gangnam,대치동 대치3차아이파크,2024-11-24 21:15:29,37.5070284,127.0616837
206,gangnam,논현동 논현로661,2024-11-24 21:15:29,37.513088,127.030844
207,gangnam,논현동 논현로123길40,2024-11-24 21:15:29,37.5107833,127.0287374
209,gangnam,논현동 강남대로122길15,2024-11-24 21:15:29,37.5081567,127.0242684
210,gangnam,역삼동 테헤란로115,2024-11-24 21:15:29,37.4989577,127.0299295
212,gangnam,대치동 테헤란로68길15,2024-11-24 21:15:29,37.5043332,127.0526
213,gangnam,대치동 테헤란로408,2024-11-24 21:15:29,37.5045883,127.0503179
214,gangnam,대치동 테헤란로512,2024-11-24 21:15:29,37.50728,127.059063
215,gangnam,대치동 테헤란로98길16,2024-11-24 21:15:29,37.5072387,127.062425
216,gangnam,대치동 선릉로222,2024-11-24 21:15:29,37.4947317,127.0545722
217,gangnam,논현동 강남대로39길,2024-11-24 21:15:29,37.4867934,127.0322709
218,gangnam,논현동 언주역1번출구,2024-11-24 21:15:29,37.5071451,127.0329161
219,gangnam,대치동 테헤란로440,2024-11-24 21:15:29,37.5060857,127.0562445
221,gangnam,역삼동 대륭타워,2024-11-24 21:15:29,37.4951825,127.0293298
222,gangnam,역삼동 테헤란로4길28,2024-11-24 21:15:29,37.4965333,127.0301212
223,gangnam,대치동 신안빌딩,2024-11-24 21:15:29,37.5072194,127.0592174052004
224,gangnam,대치동 해성빌딩,2024-11-24 21:15:29,37.60317405,127.09558327404763
225,gangnam,대치동 V&S빌딩,2024-11-24 21:15:29,37.5043917,127.0605453
226,gangnam,대치동 샹제리제빌딩,2024-11-24 21:15:29,37.5044775,127.0501246
227,gangnam,논현동 봉은사로1길6,2024-11-24 21:15:29,37.505275,127.0252375
230,gangnam,대치동 선릉로90길56,2024-11-24 21:15:29,37.5051457,127.0536676
231,gangnam,대치동 삼성로85길19,2024-11-24 21:15:29,37.5047309,127.0557498
232,gangnam,대치동 선릉로86길31,2024-11-24 21:15:29,37.5042023,127.0520244
233,gangnam,대치동 선릉로86길43,2024-11-24 21:15:29,37.5040537,127.0532785
234,gangnam,대치동 테헤란로64길20,2024-11-24 21:15:29,37.5035967,127.0513505
235,gangnam,대치동 테헤란로64길14,2024-11-24 21:15:29,37.503951,127.0511282
236,gangnam,대치동 테헤란로508,2024-11-24 21:15:29,37.5069045,127.0582101
237,gangnam,논현동 선릉로129길,2024-11-24 21:15:29,37.5160508,127.0400152
238,gangnam,삼성동 테헤란로501,2024-11-24 21:15:29,37.5076026,127.0606002
240,gangnam,삼성동 섬유센터,2024-11-24 21:15:29,37.5076714,127.060173
241,gangnam,삼성동 루첸타워,2024-11-24 21:15:29,37.50700745,127.05864679443752
