연번,도로명주소,상세위치
이태원1동-6,녹사평대로26길 92,"쓰레기 수거 거점지역, 막다른 골목길"
이태원1동-7,우사단로 17,"다수외국인 거주지역, 도로변"
이태원1동-8,우사단로 11,"다수외국인 거주지역, 상업지역, 도로변"
이태원2동-1,용산구 소월로38가길 8,막다른 골목길로 인한 쓰레기 수거 거점 지역
이태원2동-2,용산구 소월로40길 50-31 앞,"주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-3,용산구 회나무로13나길 40,"주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-4,용산구 이태원동 303-13,"상업지역, 쓰레기 수거 거점 지역"
이태원2동-5,용산구 회나무로 30,상업지역
이태원2동-6,용산구 이태원동 691,"상업지역, 쓰레기 수거 거점지역 "
이태원2동-7,용산구 회나무로13가길 50,"주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-8,용산구 이태원동 193-41,"주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-9,용산구 녹사평대로40다길 27,"상업지역, 쓰레기 수거 거점지역 "
이태원2동-10,용산구 녹사평대로46길 16 건너편,"유동인구 많음, 상업지역"
이태원2동-11,용산구 이태원동 306-8,"유동인구 많음, 상업지역, 쓰레기 수거 거점 지역"
이태원2동-12,용산구 회나무로6길 11-4,"주거밀집지역, 좁은골목지역"
이태원2동-13,용산구 녹사평대로40가길 3 옆 계단,"유동인구 많음, 주거밀집지역, 외국인거주지역"
이태원2동-14,용산구 녹사평대로46길 36 전신주,"상업지역, 주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-15,용산구 녹사평대로46길 28 화분,"상업지역, 주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-16,용산구 녹사평대로46가길 42 건너편,"고바위지형,주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-17,용산구 회나무로26길 19,"주거밀집지역, 고등학교 입구(후문)"
이태원2동-18,용산구 회나무로28길 30-14,"주거밀집지역, 외국인거주지역, 막다른 골목길"
이태원2동-19,용산구 소월로40길 48,"주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-20,용산구 소월로40길 64,"주거밀집지역, 쓰레기 수거 거점 지역, 차량사고지역"
이태원2동-21,용산구 녹사평대로40나길 70 반대편,"주거밀집지역, 쓰레기 수거 거점 지역"
이태원2동-22,용산구 이태원동 592,"유동인구 많음, 상업지역, 쓰레기 수거 거점 지역"
이태원2동-23,용산구 회나무로12나길 16,"주거밀집지역, 좁은골목지역"
이태원2동-24,용산구 이태원동 219,"공원 입구, 주거밀집지역"
이태원2동-25,서울특별시 용산구 회나무로12길 5,"상업지역, 좁은골목지역, 고바위지형"
이태원2동-26,이태원초등학교 후문 건너편(의류수거함),"초등학교 입구(후문), 의류수거함 설치"
한남동-1,대사관로24길 8,"상업지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-2,대사관로 59,담배꽁초 무단투기 상습지역
한남동-3,우사단로10길 42,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-4,우사단로14길 25,"외국인 밀집지역, 전신주옆 등"
한남동-5,이태원로 220,담배꽁초 무단투기 상습지역
한남동-6,이태원로 222,담배꽁초 무단투기 상습지역
한남동-7,이태원로42길 34,전신주옆 등
한남동-8,이태원로45길 7,"전신주옆, 쓰레기 수거 거점지역 등"
한남동-9,한남대로 164,"전신주옆, 쓰레기 수거 거점지역 등"
한남동-10,한남대로10길 60,"전신주옆, 쓰레기 수거 거점지역 등"
한남동-11,한남대로20길 51,전신주옆 등
한남동-12,독서당로 73,전신주옆 등
한남동-13,독서당로 78,전신주옆 등
한남동-14,한남대로42길 13,전신주옆 등
한남동-15,한남대로42길 41,"전신주옆, 건물 벽 등"
한남동-16,이태원로54길 31,건물 벽
한남동-17,독서당로6길 12-13,전철 출입구 인근 담배꽁초 무단투기 상습지역
한남동-18,이태원로 286,지하철역 출입구 계단 인근 관광객 무단투기 상습지역
한남동-19,독서당로 65-1,"점포 밀집 지역, 쓰레기 수거 거점지역"
서빙고동-1,서빙고로 291,거주자 우선주차구역 주변
서빙고동-2,서빙고로65길 14,"전신주, 의류수거함 주변"
서빙고동-3,서빙고로65길 10,"전신주, 음식점 앞"
서빙고동-4,서빙고로65길 30,"전신주 옆, 쓰레기 수거 거점지역 "
서빙고동-5,서빙고로71길 29,"전신주 옆, 쓰레기 수거 거점지역 등"
서빙고동-6,서빙고로71길 41,다세대 주택 앞
서빙고동-7,서빙고로71길 65-2,"전신주 옆, 쓰레기 수거 거점지역"
서빙고동-8,서빙고로75길 34,다세대 주택 밀집
서빙고동-9,서빙고로75가길 23,경로당 주변
서빙고동-10,서빙고로79길 11,"전신주, 의류수거함 주변"
서빙고동-11,서빙고로79가길 32,전신주옆 등
서빙고동-12,서빙고로91가길 8,"전신주, 의류수거함 주변"
서빙고동-13,서빙고로91나길 16-4,다세대 주택 밀집 지역
서빙고동-14,서빙고로91나길 16-16,다세대 주택 밀집 지역
서빙고동-15,서빙고로91나길 43,"전신주 옆,  쓰레기 수거 거점지역 등"
서빙고동-16,서빙고로91나길 96,"전신주 옆, 도로변 등"
서빙고동-17,녹사평대로14길 23-1,"전신주 옆, 나대지 등"
서빙고동-18,녹사평대로14길 36,다세대 주택 앞
서빙고동-19,서빙고로91길 76,전신주 옆
서빙고동-20,서빙고로91나길 8,의류수거함 옆
서빙고동-21,서빙고로91다길 34,다세대 주택 앞
보광동-1,보광로 43,"공중전화 박스 옆, 음식점 앞"
보광동-2,보광로 51,전신주 옆
보광동-3,우사단로2길 30,전신주 및 담장 옆
보광동-4,우사단로2길 45,"빌라 앞, 화단 옆"
보광동-5,우사단로2길 61,"전신주 옆, 공원 앞"
보광동-6,우사단로4길 13,일반 주택 담장 옆
보광동-7,우사단로4길 19,계단 아래
보광동-8,우사단로4길 29,"전신주 옆, 공가 앞"
보광동-9,우사단로2가길 14,공원 앞
보광동-10,우사단로2나길 7,일반 주택 담장 및 전신주 옆
보광동-11,보광로31길 6,일반 주택 담장 및 전신주 옆
보광동-12,장문로6길 106,계단 아래
보광동-13,보광로 30가길 19,19 맞은편
보광동-14,우사단로 6길 14,담장 옆
보광동-15,보광로 7길 9,경로당 맞은편
보광동-16,장문로 83,기아자동차 옆 골목
보광동-17,장문로17길 3,17길 3 앞 전봇대 부근
보광동-18,우사단로4길 11,보광모텔 옆 골목
보광동-19,우사단로6길 14,우사단로 6길 16 사이 골목
